gene	logFC	pval	adj_pval
A1BG	-1.2360297951187	7.65471624497001e-12	3.39910226429975e-11
AADAT	-2.41080291778972	2.79402518775688e-28	1.20533957063543e-26
AASS	-1.26623923438982	1.845571136531e-12	8.79326196438173e-12
ABCA8	-2.09260533414012	5.41175678614452e-16	4.00162406762338e-15
ABCA9	-1.32709945530499	2.60546508148203e-17	2.29921592670052e-16
ABCB4	-1.04111727326471	1.87132344356331e-11	7.98392979303516e-11
ABCC4	1.20745294513929	5.6559144920498e-15	3.70067929750936e-14
ABCC9	-1.42427084899771	3.77394977677705e-20	4.96789025161197e-19
ABCG2	-1.37676856112457	9.31219361434747e-13	4.58505760100869e-12
ABI3BP	-1.87855754799953	2.36498896344334e-18	2.39840415464425e-17
ACAA1	-1.13682958516438	2.66730924076701e-26	8.41212755250991e-25
ACACA	1.04101463598501	1.12514780177532e-25	3.25842803394133e-24
ACADL	-1.92072855110941	2.00602719027233e-14	1.22270734891709e-13
ACADS	-1.34970433632353	8.24290051173679e-28	3.23728253116606e-26
ACCN2	1.06032177631583	4.62506102449114e-10	1.6801159725093e-09
ACE2	-1.59845765343565	2.11650494718245e-09	7.12720735702369e-09
ACMSD	-1.08826625963004	2.24117469685357e-10	8.43581398101392e-10
ACOT12	-1.49946328978769	1.47732965540293e-15	1.04063000938111e-14
ACSL4	1.43548365496339	2.79089109484777e-13	1.46466809049496e-12
ACSM3	-1.96362655138136	8.51199171417955e-22	1.42740872129424e-20
ACTN2	1.44672180348785	3.11958332430899e-10	1.15618298500764e-09
ADAMTS1	-1.70498087330938	8.1752817979523e-26	2.39673930456869e-24
ADAMTS13	-2.62833496197169	3.0736164386562e-48	2.22529830158709e-45
ADAMTS2	-1.36523165743636	1.8946904285885e-27	7.12198307378232e-26
ADAMTSL2	-1.67438430312771	9.7374888781752e-29	4.46690536637392e-27
ADAMTSL3	-1.50166273307521	7.78974609574193e-22	1.31423355609214e-20
ADCY6	1.05583829874242	3.07837051931405e-28	1.31102367999022e-26
ADFP	-1.14007009446279	1.39954479781341e-22	2.61856404193133e-21
ADH1A	-1.15757617908152	6.68077144743963e-12	2.99054317588077e-11
ADH1B	-1.43793856165145	1.16491747709179e-12	5.68029453251316e-12
ADH1C	-1.22219150632111	9.44177797510816e-11	3.72569874031993e-10
ADH4	-2.6364212541999	7.3212959453237e-19	8.07378940937287e-18
ADH6	-1.17327316336371	5.24689296796307e-16	3.89181566603657e-15
ADM2	1.96112878842839	1.31418733512477e-20	1.84986031314435e-19
ADORA3	-2.27616216246556	6.90066941275962e-28	2.75563422209288e-26
ADRA1A	-2.79651268120966	4.89216615587019e-23	9.76790777308758e-22
ADRA1B	-1.002744725093	2.96313100224945e-22	5.32276779390053e-21
ADRA2B	-1.5113956718898	3.04829107443428e-33	2.60308425494767e-31
ADRB1	-1.58922491848687	9.58396692836765e-14	5.30382908910529e-13
AEBP1	-1.30245177250687	5.45671423617193e-09	1.75483208692034e-08
AFM	-1.96105517168641	8.44796201499387e-16	6.09776608035015e-15
AFP	1.76110783479142	1.84131712673459e-08	5.5697752578355e-08
AGBL3	1.15701332123304	4.88124231714374e-21	7.35587756245046e-20
AGPAT1	1.03251453221551	2.36365912571112e-29	1.18197152436461e-27
AGTR1	-1.00804389495464	4.83240318684791e-22	8.40848253577757e-21
AGTRL1	-1.36705462511119	1.72152118745231e-13	9.2354287414484e-13
AGXT2	-1.64261890190268	2.16857214815556e-14	1.3160008531737e-13
AGXT2L1	-1.34019945155788	1.9823555893374e-11	8.42526423523388e-11
AIM2	-1.07345292110358	7.63615413034291e-09	2.40875778340373e-08
